area_id,city,state,area_name,total_road_length_km,num_intersections,avg_traffic_volume_per_hr,avg_traffic_speed_kmph,congestion_level,num_micro_hubs,total_hub_storage_capacity,avg_hub_utilization_pct,num_delivery_orders_monthly,avg_package_weight_kg,num_vehicles_fleet,most_common_vehicle_type,num_couriers,avg_courier_capacity_kg,avg_daily_demand_orders,num_curb_zones,total_curb_capacity_vehicles
mum_andheri,Mumbai,Maharashtra,Andheri,16.13,13,1946,18.5,High,9,733,56.6,702,2.9,83,Two-Wheeler,16,20.5,234,11,20
mum_bandra,Mumbai,Maharashtra,Bandra,16.2,6,1114,13.5,Severe,13,2316,45.8,298,1.42,17,Mini Van,55,16.4,99,0,0
mum_dadar,Mumbai,Maharashtra,Dadar,72.84,19,1696,21,High,16,3174,45.4,247,2.79,15,Three-Wheeler (E),32,9,82,4,6
mum_colaba,Mumbai,Maharashtra,Colaba,68.88,23,2084,21.2,High,11,1357,32.7,374,2.67,15,Two-Wheeler,10,18.8,124,4,11
mum_powai,Mumbai,Maharashtra,Powai,78.66,12,1200,25.8,Moderate,13,2058,80.8,508,3.11,43,Mini Van,57,21.3,169,4,10
mum_borivali,Mumbai,Maharashtra,Borivali,46.39,5,509,24.9,Moderate,8,1237,75.5,363,1.94,26,Mini Van,60,19.7,121,10,32
mum_malad,Mumbai,Maharashtra,Malad,62.45,7,2033,16.9,High,8,946,62.6,519,2.35,41,Two-Wheeler,23,19.8,173,4,9
mum_chembur,Mumbai,Maharashtra,Chembur,35.4,5,1170,24,Moderate,16,2480,40.2,517,2.45,93,Mini Van,43,20.8,172,5,10
mum_worli,Mumbai,Maharashtra,Worli,77.94,19,1475,20,High,11,1471,61.3,721,3.06,94,Mini Van,17,15.8,240,5,16
mum_juhu,Mumbai,Maharashtra,Juhu,78.51,8,1326,28.7,Moderate,10,1918,60.4,240,2.63,62,E-Cargo Bike,41,9.9,80,1,3
mum_thane,Mumbai,Maharashtra,Thane,80.92,11,563,21,High,13,2050,24,243,2.61,14,Two-Wheeler,64,21.8,81,3,4
mum_kurla,Mumbai,Maharashtra,Kurla,67.32,13,1444,27.9,Moderate,7,604,66,294,2.56,105,Two-Wheeler,32,11.5,98,0,0
mum_ghatkopar,Mumbai,Maharashtra,Ghatkopar,79.98,19,2326,26,Moderate,4,404,92.1,280,2.78,26,Two-Wheeler,28,17.4,93,3,9
mum_vikhroli,Mumbai,Maharashtra,Vikhroli,36.73,10,526,18.5,High,2,297,71.6,460,2.41,70,E-Cargo Bike,67,15.4,153,11,24
mum_mulund,Mumbai,Maharashtra,Mulund,29.99,21,937,25.2,Moderate,15,2179,30.7,496,1.96,101,Mini Van,23,11.3,165,6,14
mum_goregaon,Mumbai,Maharashtra,Goregaon,40.42,18,1428,11.7,Severe,8,1039,53.6,107,1.75,105,Two-Wheeler,66,21.2,35,10,23
mum_santacruz,Mumbai,Maharashtra,Santacruz,35.38,16,1666,18.9,High,5,598,68.2,276,1.89,45,Light Truck,30,19.6,92,7,10
del_connaught_place,Delhi,Delhi,Connaught Place,60.91,25,1754,14.2,Severe,17,1713,40.9,502,2.92,25,Light Truck,38,15.5,167,11,18
del_karol_bagh,Delhi,Delhi,Karol Bagh,65.56,18,1479,14.3,Severe,18,3586,33.1,284,2.53,107,Mini Van,77,12.2,94,3,4
del_dwarka,Delhi,Delhi,Dwarka,66.03,27,638,10.6,Severe,14,2247,29.3,191,1.26,93,Mini Van,33,11.4,63,11,19
del_rohini,Delhi,Delhi,Rohini,26.04,5,2175,22.1,Moderate,10,1282,72.6,175,1.76,125,Two-Wheeler,87,8.5,58,0,0
del_saket,Delhi,Delhi,Saket,82.98,21,1642,20.8,High,13,1064,55,822,2.76,94,Two-Wheeler,61,19.4,274,4,9
del_vasant_kunj,Delhi,Delhi,Vasant Kunj,87.94,12,965,13.6,Severe,10,918,67.1,833,1.88,132,Mini Van,45,15.5,277,16,46
del_lajpat_nagar,Delhi,Delhi,Lajpat Nagar,82.31,16,2304,12.8,Severe,3,455,59.3,484,1.43,129,Two-Wheeler,20,21.5,161,5,10
del_janakpuri,Delhi,Delhi,Janakpuri,99.78,23,2869,12,Severe,18,2775,42.2,592,1.42,111,Two-Wheeler,62,9.5,197,3,6
del_pitampura,Delhi,Delhi,Pitampura,37.89,12,1892,11.5,Severe,16,2145,50.5,574,1.52,123,Two-Wheeler,20,15.7,191,16,28
del_mayur_vihar,Delhi,Delhi,Mayur Vihar,101.02,31,1399,19.4,High,19,2943,85.5,674,1.27,55,Two-Wheeler,83,14.6,224,7,14
del_chandni_chowk,Delhi,Delhi,Chandni Chowk,75.05,14,2692,9.8,Severe,18,1639,81.8,481,2.68,68,Two-Wheeler,24,21.3,160,10,19
